YearN	SexN	AgeGroupN	RaceN	RegistryN	Population
44	0	0	0	0	16887
44	0	0	0	1	14632
44	0	0	0	2	14450
44	0	0	0	3	1803
44	0	0	0	4	17221
44	0	0	0	5	10682
44	0	0	0	6	22170
44	0	0	0	7	23674
44	0	0	0	8	11491
44	0	0	0	9	12416
44	0	0	0	10	51361
44	0	0	0	11	3321
44	0	0	0	12	35394
44	0	0	0	13	370
44	0	0	0	14	118379
44	0	0	0	15	24233
44	0	0	0	16	18142
44	0	0	0	17	37525
44	0	0	0	18	27204
44	0	0	0	19	10607
44	0	0	0	20	83916
44	0	0	0	21	28974
44	0	0	0	22	925749
44	0	0	1	0	2654
44	0	0	1	1	2873
44	0	0	1	2	7569
44	0	0	1	3	461
44	0	0	1	4	1451
44	0	0	1	5	541
44	0	0	1	6	2791
44	0	0	1	7	557
44	0	0	1	8	11188
44	0	0	1	9	604
44	0	0	1	10	5953
44	0	0	1	11	374
44	0	0	1	12	3003
44	0	0	1	13	367
44	0	0	1	14	10053
44	0	0	1	15	3208
44	0	0	1	16	12423
44	0	0	1	17	10103
44	0	0	1	18	12659
44	0	0	1	19	212
44	0	0	1	20	26196
44	0	0	1	21	5126
44	0	0	1	22	220577
44	0	0	2	0	6704
44	0	0	2	1	1226
44	0	0	2	2	1304
44	0	0	2	3	7330
44	0	0	2	4	855
44	0	0	2	5	2482
44	0	0	2	6	4761
44	0	0	2	7	1612
44	0	0	2	8	2197
44	0	0	2	9	4572
44	0	0	2	10	8691
44	0	0	2	11	1901
44	0	0	2	12	5425
44	0	0	2	13	10
44	0	0	2	14	16152
44	0	0	2	15	579
44	0	0	2	16	979
44	0	0	2	17	5851
44	0	0	2	18	1176
44	0	0	2	19	571
44	0	0	2	20	13243
44	0	0	2	21	3002
44	0	0	2	22	65520
44	0	1	0	0	66159
44	0	1	0	1	61854
44	0	1	0	2	59394
44	0	1	0	3	6172
44	0	1	0	4	72746
44	0	1	0	5	46262
44	0	1	0	6	90046
44	0	1	0	7	98670
44	0	1	0	8	47638
44	0	1	0	9	48749
44	0	1	0	10	201798
44	0	1	0	11	14124
44	0	1	0	12	145948
44	0	1	0	13	1507
44	0	1	0	14	472207
44	0	1	0	15	98359
44	0	1	0	16	73310
44	0	1	0	17	154194
44	0	1	0	18	112875
44	0	1	0	19	45292
44	0	1	0	20	328842
44	0	1	0	21	118231
44	0	1	0	22	3803050
44	0	1	1	0	11286
44	0	1	1	1	13044
44	0	1	1	2	29720
44	0	1	1	3	1578
44	0	1	1	4	5709
44	0	1	1	5	2292
44	0	1	1	6	11235
44	0	1	1	7	2459
44	0	1	1	8	44835
44	0	1	1	9	2631
44	0	1	1	10	25672
44	0	1	1	11	1498
44	0	1	1	12	12736
44	0	1	1	13	1469
44	0	1	1	14	42980
44	0	1	1	15	13278
44	0	1	1	16	49849
44	0	1	1	17	39807
44	0	1	1	18	53824
44	0	1	1	19	910
44	0	1	1	20	101803
44	0	1	1	21	19190
44	0	1	1	22	895807
44	0	1	2	0	29086
44	0	1	2	1	5562
44	0	1	2	2	5680
44	0	1	2	3	29408
44	0	1	2	4	2795
44	0	1	2	5	9506
44	0	1	2	6	19008
44	0	1	2	7	5649
44	0	1	2	8	8414
44	0	1	2	9	20770
44	0	1	2	10	34991
44	0	1	2	11	7171
44	0	1	2	12	21262
44	0	1	2	13	45
44	0	1	2	14	75820
44	0	1	2	15	2449
44	0	1	2	16	3646
44	0	1	2	17	25590
44	0	1	2	18	5166
44	0	1	2	19	2041
44	0	1	2	20	47132
44	0	1	2	21	12575
44	0	1	2	22	271584
44	0	2	0	0	82498
44	0	2	0	1	86930
44	0	2	0	2	80721
44	0	2	0	3	6666
44	0	2	0	4	94262
44	0	2	0	5	59470
44	0	2	0	6	110589
44	0	2	0	7	122481
44	0	2	0	8	60509
44	0	2	0	9	60455
44	0	2	0	10	246004
44	0	2	0	11	16786
44	0	2	0	12	190240
44	0	2	0	13	2127
44	0	2	0	14	594456
44	0	2	0	15	126326
44	0	2	0	16	91915
44	0	2	0	17	204555
44	0	2	0	18	150806
44	0	2	0	19	59171
44	0	2	0	20	409906
44	0	2	0	21	156955
44	0	2	0	22	4922100
44	0	2	1	0	14053
44	0	2	1	1	17136
44	0	2	1	2	36610
44	0	2	1	3	1782
44	0	2	1	4	6626
44	0	2	1	5	2706
44	0	2	1	6	13225
44	0	2	1	7	2856
44	0	2	1	8	55781
44	0	2	1	9	3171
44	0	2	1	10	32026
44	0	2	1	11	1628
44	0	2	1	12	15469
44	0	2	1	13	1829
44	0	2	1	14	53734
44	0	2	1	15	15600
44	0	2	1	16	62154
44	0	2	1	17	49079
44	0	2	1	18	67721
44	0	2	1	19	1025
44	0	2	1	20	123329
44	0	2	1	21	22375
44	0	2	1	22	1099994
44	0	2	2	0	37359
44	0	2	2	1	6987
44	0	2	2	2	7899
44	0	2	2	3	35669
44	0	2	2	4	3413
44	0	2	2	5	11350
44	0	2	2	6	23052
44	0	2	2	7	6916
44	0	2	2	8	10369
44	0	2	2	9	27229
44	0	2	2	10	44403
44	0	2	2	11	8167
44	0	2	2	12	26429
44	0	2	2	13	56
44	0	2	2	14	101861
44	0	2	2	15	3056
44	0	2	2	16	4462
44	0	2	2	17	32251
44	0	2	2	18	6824
44	0	2	2	19	2506
44	0	2	2	20	57153
44	0	2	2	21	15492
44	0	2	2	22	343104
44	0	3	0	0	78245
44	0	3	0	1	95753
44	0	3	0	2	87894
44	0	3	0	3	5828
44	0	3	0	4	94319
44	0	3	0	5	58793
44	0	3	0	6	111248
44	0	3	0	7	113630
44	0	3	0	8	57461
44	0	3	0	9	57828
44	0	3	0	10	250101
44	0	3	0	11	16382
44	0	3	0	12	189808
44	0	3	0	13	2190
44	0	3	0	14	597151
44	0	3	0	15	128194
44	0	3	0	16	92210
44	0	3	0	17	214609
44	0	3	0	18	153729
44	0	3	0	19	57522
44	0	3	0	20	421703
44	0	3	0	21	167889
44	0	3	0	22	5000740
44	0	3	1	0	14744
44	0	3	1	1	18065
44	0	3	1	2	39465
44	0	3	1	3	1447
44	0	3	1	4	5841
44	0	3	1	5	2670
44	0	3	1	6	12632
44	0	3	1	7	2692
44	0	3	1	8	58262
44	0	3	1	9	3096
44	0	3	1	10	33567
44	0	3	1	11	1591
44	0	3	1	12	15187
44	0	3	1	13	1842
44	0	3	1	14	54157
44	0	3	1	15	15501
44	0	3	1	16	61978
44	0	3	1	17	52124
44	0	3	1	18	69335
44	0	3	1	19	1029
44	0	3	1	20	129975
44	0	3	1	21	22437
44	0	3	1	22	1113983
44	0	3	2	0	35170
44	0	3	2	1	6313
44	0	3	2	2	7425
44	0	3	2	3	34471
44	0	3	2	4	3114
44	0	3	2	5	10970
44	0	3	2	6	21834
44	0	3	2	7	6422
44	0	3	2	8	9553
44	0	3	2	9	24309
44	0	3	2	10	46841
44	0	3	2	11	8135
44	0	3	2	12	24834
44	0	3	2	13	52
44	0	3	2	14	101646
44	0	3	2	15	2735
44	0	3	2	16	4153
44	0	3	2	17	29437
44	0	3	2	18	6285
44	0	3	2	19	2460
44	0	3	2	20	55623
44	0	3	2	21	13831
44	0	3	2	22	320600
44	0	4	0	0	78826
44	0	4	0	1	105796
44	0	4	0	2	87072
44	0	4	0	3	6544
44	0	4	0	4	99953
44	0	4	0	5	59786
44	0	4	0	6	113177
44	0	4	0	7	102376
44	0	4	0	8	55747
44	0	4	0	9	61277
44	0	4	0	10	271594
44	0	4	0	11	16525
44	0	4	0	12	191049
44	0	4	0	13	2019
44	0	4	0	14	637642
44	0	4	0	15	127945
44	0	4	0	16	90079
44	0	4	0	17	220943
44	0	4	0	18	150847
44	0	4	0	19	54784
44	0	4	0	20	464411
44	0	4	0	21	192479
44	0	4	0	22	5142342
44	0	4	1	0	15764
44	0	4	1	1	19366
44	0	4	1	2	42165
44	0	4	1	3	1508
44	0	4	1	4	6410
44	0	4	1	5	2742
44	0	4	1	6	11953
44	0	4	1	7	2442
44	0	4	1	8	58136
44	0	4	1	9	3510
44	0	4	1	10	37424
44	0	4	1	11	1549
44	0	4	1	12	15675
44	0	4	1	13	1896
44	0	4	1	14	59986
44	0	4	1	15	16953
44	0	4	1	16	61753
44	0	4	1	17	55394
44	0	4	1	18	73539
44	0	4	1	19	973
44	0	4	1	20	141992
44	0	4	1	21	25835
44	0	4	1	22	1171733
44	0	4	2	0	35691
44	0	4	2	1	6193
44	0	4	2	2	6463
44	0	4	2	3	33846
44	0	4	2	4	3676
44	0	4	2	5	11023
44	0	4	2	6	22473
44	0	4	2	7	6690
44	0	4	2	8	9787
44	0	4	2	9	23096
44	0	4	2	10	54534
44	0	4	2	11	7911
44	0	4	2	12	25461
44	0	4	2	13	52
44	0	4	2	14	108521
44	0	4	2	15	2457
44	0	4	2	16	4153
44	0	4	2	17	27833
44	0	4	2	18	6267
44	0	4	2	19	2391
44	0	4	2	20	61647
44	0	4	2	21	16056
44	0	4	2	22	324536
44	0	5	0	0	84792
44	0	5	0	1	94592
44	0	5	0	2	79630
44	0	5	0	3	17669
44	0	5	0	4	102958
44	0	5	0	5	62563
44	0	5	0	6	129139
44	0	5	0	7	111735
44	0	5	0	8	56716
44	0	5	0	9	67130
44	0	5	0	10	292213
44	0	5	0	11	21995
44	0	5	0	12	202256
44	0	5	0	13	1849
44	0	5	0	14	682919
44	0	5	0	15	136925
44	0	5	0	16	105440
44	0	5	0	17	206807
44	0	5	0	18	160348
44	0	5	0	19	53047
44	0	5	0	20	498084
44	0	5	0	21	194541
44	0	5	0	22	5382351
44	0	5	1	0	16244
44	0	5	1	1	19402
44	0	5	1	2	41478
44	0	5	1	3	2969
44	0	5	1	4	6544
44	0	5	1	5	3299
44	0	5	1	6	13467
44	0	5	1	7	2605
44	0	5	1	8	55440
44	0	5	1	9	4181
44	0	5	1	10	40458
44	0	5	1	11	2215
44	0	5	1	12	17160
44	0	5	1	13	1916
44	0	5	1	14	64554
44	0	5	1	15	18084
44	0	5	1	16	64912
44	0	5	1	17	55753
44	0	5	1	18	73333
44	0	5	1	19	1013
44	0	5	1	20	155544
44	0	5	1	21	27177
44	0	5	1	22	1184810
44	0	5	2	0	42384
44	0	5	2	1	6950
44	0	5	2	2	5846
44	0	5	2	3	34354
44	0	5	2	4	5997
44	0	5	2	5	12187
44	0	5	2	6	27292
44	0	5	2	7	7915
44	0	5	2	8	10711
44	0	5	2	9	24925
44	0	5	2	10	65589
44	0	5	2	11	8296
44	0	5	2	12	29036
44	0	5	2	13	42
44	0	5	2	14	122940
44	0	5	2	15	3495
44	0	5	2	16	5864
44	0	5	2	17	26877
44	0	5	2	18	6862
44	0	5	2	19	2617
44	0	5	2	20	77705
44	0	5	2	21	20635
44	0	5	2	22	378900
44	0	6	0	0	108323
44	0	6	0	1	87704
44	0	6	0	2	79869
44	0	6	0	3	16860
44	0	6	0	4	90143
44	0	6	0	5	58916
44	0	6	0	6	139368
44	0	6	0	7	101165
44	0	6	0	8	67970
44	0	6	0	9	65551
44	0	6	0	10	295134
44	0	6	0	11	22385
44	0	6	0	12	187702
44	0	6	0	13	1881
44	0	6	0	14	616062
44	0	6	0	15	124644
44	0	6	0	16	107525
44	0	6	0	17	203931
44	0	6	0	18	142533
44	0	6	0	19	50723
44	0	6	0	20	500279
44	0	6	0	21	188940
44	0	6	0	22	5125814
44	0	6	1	0	14191
44	0	6	1	1	15377
44	0	6	1	2	28249
44	0	6	1	3	2492
44	0	6	1	4	4590
44	0	6	1	5	2661
44	0	6	1	6	12594
44	0	6	1	7	2137
44	0	6	1	8	50284
44	0	6	1	9	3744
44	0	6	1	10	34530
44	0	6	1	11	1713
44	0	6	1	12	14502
44	0	6	1	13	1634
44	0	6	1	14	52462
44	0	6	1	15	13453
44	0	6	1	16	55515
44	0	6	1	17	45830
44	0	6	1	18	55787
44	0	6	1	19	814
44	0	6	1	20	128534
44	0	6	1	21	22021
44	0	6	1	22	958418
44	0	6	2	0	47559
44	0	6	2	1	8303
44	0	6	2	2	6313
44	0	6	2	3	33912
44	0	6	2	4	4261
44	0	6	2	5	10749
44	0	6	2	6	27372
44	0	6	2	7	7025
44	0	6	2	8	12045
44	0	6	2	9	30321
44	0	6	2	10	67582
44	0	6	2	11	7291
44	0	6	2	12	25713
44	0	6	2	13	53
44	0	6	2	14	108683
44	0	6	2	15	3247
44	0	6	2	16	5694
44	0	6	2	17	34861
44	0	6	2	18	6208
44	0	6	2	19	2376
44	0	6	2	20	81532
44	0	6	2	21	21445
44	0	6	2	22	369202
44	0	7	0	0	110110
44	0	7	0	1	83199
44	0	7	0	2	80752
44	0	7	0	3	14091
44	0	7	0	4	91445
44	0	7	0	5	56667
44	0	7	0	6	137217
44	0	7	0	7	106831
44	0	7	0	8	68374
44	0	7	0	9	63938
44	0	7	0	10	277996
44	0	7	0	11	20007
44	0	7	0	12	183856
44	0	7	0	13	1989
44	0	7	0	14	579122
44	0	7	0	15	127327
