Age_recode	Race_recode	Count
0	0	1,464,611
0	1	306,024
0	2	111,187
1	0	5,816,845
1	1	1,223,253
1	2	445,754
2	0	7,722,219
2	1	1,699,227
2	2	563,049
3	0	7,845,648
3	1	1,655,864
3	2	561,542
4	0	7,732,274
4	1	1,541,219
4	2	581,439
5	0	7,299,961
5	1	1,446,204
5	2	603,649
6	0	7,438,634
6	1	1,410,678
6	2	683,061
7	0	8,078,965
7	1	1,449,432
7	2	666,796
8	0	9,139,929
8	1	1,563,570
8	2	654,252
9	0	9,232,466
9	1	1,499,536
9	2	619,554
10	0	8,445,294
10	1	1,273,509
10	2	547,331
11	0	7,595,574
11	1	1,024,668
11	2	455,820
12	0	5,949,962
12	1	746,419
12	2	312,228
13	0	4,838,830
13	1	614,662
13	2	242,714
14	0	4,402,269
14	1	522,815
14	2	200,348
15	0	4,335,366
15	1	451,131
15	2	163,397
16	0	3,912,640
16	1	354,184
16	2	114,913
17	0	2,826,433
17	1	237,066
17	2	68,028
18	0	2,741,213
18	1	233,513
18	2	51,835
